order_id,customer_id,order_date,category,quantity,unit_price,total_price
ORD_0000,CUST_036,2023-01-01,A,7,19.31,135.17
ORD_0001,CUST_070,2023-01-02,A,8,26.44,211.52
ORD_0002,CUST_012,2023-01-03,A,7,19.45,136.15
ORD_0003,CUST_072,2023-01-04,A,8,25.4,203.2
ORD_0004,CUST_054,2023-01-05,A,7,13.92,97.44
ORD_0005,CUST_001,2023-01-06,A,6,21.01,126.06
ORD_0006,CUST_020,2023-01-07,A,7,16.54,115.78
ORD_0007,CUST_012,2023-01-08,B,9,,171.36
ORD_0008,CUST_078,2023-01-09,B,11,24.43,268.73
ORD_0009,CUST_069,2023-01-10,A,9,13.94,125.46
ORD_0010,CUST_071,2023-01-11,,9,19.34,174.06
ORD_0011,CUST_047,2023-01-12,C,9,15.12,136.08
ORD_0012,CUST_030,2023-01-13,B,8,21.42,171.36
ORD_0013,CUST_013,2023-01-14,B,11,19.27,211.97
ORD_0014,CUST_047,2023-01-15,A,7,25.6,179.2
ORD_DUPLICATE,CUST_035,2023-01-16,C,7,22.0,154.0
ORD_DUPLICATE,CUST_078,2023-01-17,C,10,17.76,177.6
ORD_0017,CUST_021,2023-01-18,B,9,25.69,231.21
ORD_0018,CUST_072,2023-01-19,A,3,28.3,84.9
ORD_0019,CUST_008,2023-01-20,A,6,12.95,77.7
ORD_0020,CUST_052,2023-01-21,B,9,13.49,121.41
ORD_0021,CUST_073,2023-01-22,C,12,23.57,282.84
ORD_0022,CUST_051,2023-01-23,C,6,25.36,152.16
ORD_0023,CUST_032,2023-01-24,C,6,20.8,124.8
ORD_0024,CUST_075,2023-01-25,B,6,18.83,112.98
ORD_0025,BAD ID!,2023-01-26,A,9,17.58,158.22
ORD_0026,CUST_007,2023-01-27,A,7,19.9,139.3
ORD_0027,CUST_055,2023-01-28,C,8,21.94,175.52
ORD_0028,CUST_060,2023-01-29,C,9,21.52,193.68
ORD_0029,CUST_002,2023-01-30,C,7,25.08,175.56
ORD_0030,CUST_069,2023-01-31,B,7,14.05,98.35
ORD_0031,CUST_038,2023-02-01,B,8,16.38,131.04
ORD_0032,CUST_034,2023-02-02,C,8,20.27,162.16
ORD_0033,CUST_014,2023-02-03,C,8,15.25,122.0
ORD_0034,CUST_078,2023-02-04,A,7,25.45,178.15
ORD_0035,CUST_070,2023-02-05,C,9,25.56,230.04
ORD_0036,CUST_063,2023-02-06,A,10,17.35,173.5
ORD_0037,CUST_040,2023-02-07,A,9,22.46,202.14
ORD_0038,CUST_011,2023-02-08,A,11,22.92,252.12
ORD_0039,CUST_069,2023-02-09,A,7,12.69,88.83
ORD_0040,CUST_071,2023-02-10,A,9,23.28,12
ORD_0041,CUST_055,2023-02-11,A,7,28.08,196.56
ORD_0042,CUST_026,2023-02-12,C,11,17.1,188.1
ORD_0043,CUST_048,2023-02-13,B,5,32.09,160.45
ORD_0044,CUST_032,2023-02-14,A,9,17.41,156.69
ORD_0045,CUST_071,2023-02-15,A,8,20.32,162.56
ORD_0046,CUST_008,2023-02-16,A,7,19.75,138.25
ORD_0047,CUST_043,2023-02-17,A,8,20.42,163.36
ORD_0048,CUST_063,2023-02-18,A,6,19.71,118.26
ORD_0049,CUST_074,2023-02-19,C,4,18.44,73.76
ORD_0050,CUST_053,2023-02-20,A,999,21.2,84.8
ORD_0051,CUST_046,2023-02-21,B,10,23.28,232.8
ORD_0052,CUST_007,2023-02-22,C,4,24.23,96.92
ORD_0053,CUST_008,2023-02-23,B,6,15.26,91.56
ORD_0054,CUST_014,2023-02-24,A,7,12.88,90.16
ORD_0055,CUST_018,2023-02-25,B,8,24.63,197.04
ORD_0056,CUST_010,2023-02-26,B,8,24.07,192.56
ORD_0057,CUST_013,2023-02-27,A,9,12.64,113.76
ORD_0058,CUST_002,2023-02-28,A,6,15.92,95.52
ORD_0059,CUST_022,2023-03-01,B,11,16.53,181.83
ORD_0060,CUST_052,2023-03-02,A,6,20.25,121.5
ORD_0061,CUST_050,2023-03-03,B,8,20.23,161.84
ORD_0062,CUST_037,2023-03-04,B,11,16.88,185.68
ORD_0063,CUST_072,2023-03-05,C,6,13.88,83.28
ORD_0064,CUST_038,2023-03-06,A,7,17.73,124.11
ORD_0065,CUST_070,2023-03-07,A,10,18.97,189.7
ORD_0066,CUST_075,2023-03-08,B,7,18.63,130.41
ORD_0067,CUST_021,2023-03-09,A,4,19.86,79.44
ORD_0068,CUST_024,2023-03-10,A,8,19.6,156.8
ORD_0069,CUST_031,2023-03-11,B,5,16.63,83.15
ORD_0070,CUST_032,2023-03-12,C,11,25.75,283.25
ORD_0071,CUST_054,2023-03-13,C,5,16.89,84.45
ORD_0072,CUST_034,2023-03-14,A,5,17.56,87.8
ORD_0073,CUST_034,2023-03-15,B,7,16.96,118.72
ORD_0074,CUST_059,2023-03-16,B,9,24.22,217.98
ORD_0075,CUST_002,2023-03-17,B,12,15.96,191.52
ORD_0076,CUST_013,2023-03-18,A,6,16.45,98.7
ORD_0077,CUST_017,2023-03-19,B,5,18.89,94.45
ORD_0078,CUST_048,2023-03-20,B,11,14.4,158.4
ORD_0079,CUST_039,2023-03-21,C,10,26.34,263.4
ORD_0080,CUST_068,2023-03-22,A,11,19.27,211.97
ORD_0081,CUST_014,2023-03-23,A,6,15.58,93.48
ORD_0082,CUST_071,2023-03-24,A,7,28.36,198.52
ORD_0083,CUST_044,2023-03-25,A,7,25.4,177.8
ORD_0084,CUST_065,2023-03-26,B,6,12.76,76.56
ORD_0085,CUST_007,2023-03-27,A,7,28.74,201.18
ORD_0086,CUST_006,2023-03-28,A,5,14.38,71.9
ORD_0087,CUST_034,2023-03-29,A,7,21.83,152.81
ORD_0088,CUST_055,2023-03-30,C,7,14.94,104.58
ORD_0089,CUST_020,2023-03-31,C,8,20.1,160.8
ORD_0090,CUST_071,2023-04-01,A,9,20.86,187.74
ORD_0091,CUST_047,2023-04-02,A,7,20.5,143.5
ORD_0092,CUST_032,2023-04-03,C,9,18.37,165.33
ORD_0093,CUST_053,2023-04-04,C,10,24.19,241.9
ORD_0094,CUST_031,2023-04-05,A,7,10.88,76.16
ORD_0095,CUST_053,2023-04-06,A,11,18.91,208.01
